Year,Date,Hour,Minute,Upstream,Downstream,Passage,Reviewer,Comments
2017,17-Jul,18:00:00,50,105,0,105,JMK,NA
2017,17-Jul,19:00:00,0,20,1,19,JMK,NA
2017,17-Jul,19:00:00,10,30,0,30,EPA,NA
2017,17-Jul,19:00:00,20,NA,NA,0,NA,NA
2017,17-Jul,19:00:00,30,NA,NA,0,NA,NA
2017,17-Jul,19:00:00,40,NA,NA,0,NA,NA
2017,17-Jul,19:00:00,50,NA,NA,0,NA,NA
2017,17-Jul,20:00:00,0,32,2,30,EPA,NA
2017,17-Jul,20:00:00,10,77,11,66,EPA,NA
2017,17-Jul,20:00:00,20,NA,NA,0,NA,NA
2017,17-Jul,20:00:00,30,NA,NA,0,NA,NA
2017,17-Jul,20:00:00,40,NA,NA,0,NA,NA
2017,17-Jul,20:00:00,50,64,0,64,JMK,NA
2017,17-Jul,21:00:00,0,117,0,117,JMK,NA
2017,17-Jul,21:00:00,10,96,0,96,EPA,NA
2017,17-Jul,21:00:00,20,NA,NA,0,NA,NA
2017,17-Jul,21:00:00,30,NA,NA,0,NA,NA
2017,17-Jul,21:00:00,40,NA,NA,0,NA,NA
2017,17-Jul,21:00:00,50,NA,NA,0,NA,NA
2017,17-Jul,22:00:00,0,44,1,43,EPA,NA
2017,17-Jul,22:00:00,10,70,1,69,EPA,NA
2017,17-Jul,22:00:00,20,NA,NA,0,NA,NA
2017,17-Jul,22:00:00,30,NA,NA,0,NA,NA
2017,17-Jul,22:00:00,40,NA,NA,0,NA,NA
2017,17-Jul,22:00:00,50,3,2,1,JMK,NA
2017,17-Jul,23:00:00,0,7,0,7,JMK,NA
2017,17-Jul,23:00:00,10,37,28,9,EPA,NA
2017,17-Jul,23:00:00,20,NA,NA,0,NA,NA
2017,17-Jul,23:00:00,30,NA,NA,0,NA,NA
2017,17-Jul,23:00:00,40,NA,NA,0,NA,NA
2017,17-Jul,23:00:00,50,NA,NA,0,NA,NA
2017,18-Jul,00:00:00,0,2,2,0,JMK,NA
2017,18-Jul,00:00:00,10,4,1,3,JMK,NA
2017,18-Jul,00:00:00,20,NA,NA,0,NA,NA
2017,18-Jul,00:00:00,30,NA,NA,0,NA,NA
2017,18-Jul,00:00:00,40,NA,NA,0,NA,NA
2017,18-Jul,00:00:00,50,NA,NA,0,NA,NA
2017,18-Jul,01:00:00,0,4,0,4,JMK,NA
2017,18-Jul,01:00:00,10,0,1,-1,JMK,NA
2017,18-Jul,01:00:00,20,NA,NA,0,NA,NA
2017,18-Jul,01:00:00,30,NA,NA,0,NA,NA
2017,18-Jul,01:00:00,40,NA,NA,0,NA,NA
2017,18-Jul,01:00:00,50,NA,NA,0,NA,NA
2017,18-Jul,02:00:00,0,6,1,5,JMK,NA
2017,18-Jul,02:00:00,10,4,0,4,JMK,NA
2017,18-Jul,02:00:00,20,NA,NA,0,NA,NA
2017,18-Jul,02:00:00,30,NA,NA,0,NA,NA
2017,18-Jul,02:00:00,40,NA,NA,0,NA,NA
2017,18-Jul,02:00:00,50,NA,NA,0,NA,NA
2017,18-Jul,03:00:00,0,6,1,5,EPA,NA
2017,18-Jul,03:00:00,10,NA,NA,0,NA,NA
2017,18-Jul,03:00:00,20,NA,NA,0,NA,NA
2017,18-Jul,03:00:00,30,NA,NA,0,NA,NA
2017,18-Jul,03:00:00,40,NA,NA,0,NA,NA
2017,18-Jul,03:00:00,50,NA,NA,0,NA,NA
2017,18-Jul,04:00:00,0,3,0,3,JMK,NA
2017,18-Jul,04:00:00,10,NA,NA,0,NA,NA
2017,18-Jul,04:00:00,20,NA,NA,0,NA,NA
2017,18-Jul,04:00:00,30,NA,NA,0,NA,NA
2017,18-Jul,04:00:00,40,NA,NA,0,NA,NA
2017,18-Jul,04:00:00,50,46,0,46,EPA,NA
2017,18-Jul,05:00:00,0,74,1,73,EPA,NA
