Year,Date,Hour,Minute,Upstream,Downstream,Passage,Reviewer,Comments
2017,19-Jul,5:00,10,,,0,,
2017,19-Jul,5:00,20,,,0,,
2017,19-Jul,5:00,30,,,0,,
2017,19-Jul,5:00,40,,,0,,
2017,19-Jul,5:00,50,,,0,,
2017,19-Jul,6:00,0,69,2,67,JMK,
2017,19-Jul,6:00,10,,,0,,
2017,19-Jul,6:00,20,,,0,,
2017,19-Jul,6:00,30,,,0,,
2017,19-Jul,6:00,40,,,0,,
2017,19-Jul,6:00,50,10,0,10,VTR,
2017,19-Jul,7:00,0,1,0,1,VTR,
2017,19-Jul,7:00,10,,,0,,
2017,19-Jul,7:00,20,,,0,,
2017,19-Jul,7:00,30,,,0,,
2017,19-Jul,7:00,40,,,0,,
2017,19-Jul,7:00,50,,,0,,
2017,19-Jul,8:00,0,88,0,88,JMK,
2017,19-Jul,8:00,10,,,0,,
2017,19-Jul,8:00,20,,,0,,
2017,19-Jul,8:00,30,,,0,,
2017,19-Jul,8:00,40,,,0,,
2017,19-Jul,8:00,50,152,0,152,VTR,
2017,19-Jul,9:00,0,94,0,94,VTR,
2017,19-Jul,9:00,10,,,0,,
2017,19-Jul,9:00,20,,,0,,
2017,19-Jul,9:00,30,,,0,,
2017,19-Jul,9:00,40,,,0,,
2017,19-Jul,9:00,50,,,0,,
2017,19-Jul,10:00,0,132,0,132,JMK,
2017,19-Jul,10:00,10,,,0,,
2017,19-Jul,10:00,20,,,0,,
2017,19-Jul,10:00,30,,,0,,
2017,19-Jul,10:00,40,,,0,,
2017,19-Jul,10:00,50,221,0,221,VTR,
2017,19-Jul,11:00,0,292,0,292,VTR,
2017,19-Jul,11:00,10,,,0,,
2017,19-Jul,11:00,20,,,0,,
2017,19-Jul,11:00,30,,,0,,
2017,19-Jul,11:00,40,,,0,,
2017,19-Jul,11:00,50,,,0,,
2017,19-Jul,12:00,0,67,0,67,JMK,
2017,19-Jul,12:00,10,,,0,,
2017,19-Jul,12:00,20,,,0,,
2017,19-Jul,12:00,30,,,0,,
2017,19-Jul,12:00,40,,,0,,
2017,19-Jul,12:00,50,65,0,65,VTR,
2017,19-Jul,13:00,0,51,0,51,VTR,
2017,19-Jul,13:00,10,,,0,,
2017,19-Jul,13:00,20,,,0,,
2017,19-Jul,13:00,30,,,0,,
2017,19-Jul,13:00,40,,,0,,
2017,19-Jul,13:00,50,,,0,,
2017,19-Jul,14:00,0,174,1,173,JMK,
2017,19-Jul,14:00,10,,,0,,
2017,19-Jul,14:00,20,,,0,,
2017,19-Jul,14:00,30,,,0,,
2017,19-Jul,14:00,40,,,0,,
2017,19-Jul,14:00,50,176,2,174,VTR,
2017,19-Jul,15:00,0,170,0,170,VTR,
2017,19-Jul,15:00,10,,,0,,
2017,19-Jul,15:00,20,,,0,,
2017,19-Jul,15:00,30,,,0,,
2017,19-Jul,15:00,40,,,0,,
2017,19-Jul,15:00,50,,,0,,
2017,19-Jul,16:00,0,262,2,260,JMK,
2017,19-Jul,16:00,10,,,0,,
2017,19-Jul,16:00,20,,,0,,
2017,19-Jul,16:00,30,,,0,,
2017,19-Jul,16:00,40,,,0,,
2017,19-Jul,16:00,50,272,1,271,VTR,
2017,19-Jul,17:00,0,235,0,235,VTR,
2017,19-Jul,17:00,10,,,0,,
2017,19-Jul,17:00,20,,,0,,
2017,19-Jul,17:00,30,,,0,,
2017,19-Jul,17:00,40,,,0,,
2017,19-Jul,17:00,50,,,0,,
2017,19-Jul,18:00,0,300,0,300,JMK,
2017,19-Jul,18:00,10,,,0,,
2017,19-Jul,18:00,20,,,0,,
2017,19-Jul,18:00,30,,,0,,
2017,19-Jul,18:00,40,,,0,,
2017,19-Jul,18:00,50,137,1,136,VTR,
2017,19-Jul,19:00,0,222,1,221,VTR,
2017,19-Jul,19:00,10,,,0,,
2017,19-Jul,19:00,20,,,0,,
2017,19-Jul,19:00,30,,,0,,
2017,19-Jul,19:00,40,,,0,,
2017,19-Jul,19:00,50,,,0,,
2017,19-Jul,20:00,0,189,2,187,JMK,
2017,19-Jul,20:00,10,,,0,,
2017,19-Jul,20:00,20,,,0,,
2017,19-Jul,20:00,30,,,0,,
2017,19-Jul,20:00,40,,,0,,
2017,19-Jul,20:00,50,100,0,100,VTR,
2017,19-Jul,21:00,0,42,1,41,VTR,
2017,19-Jul,21:00,10,,,0,,
2017,19-Jul,21:00,20,,,0,,
2017,19-Jul,21:00,30,,,0,,
2017,19-Jul,21:00,40,,,0,,
2017,19-Jul,21:00,50,,,0,,
2017,19-Jul,22:00,0,25,5,20,JMK,
2017,19-Jul,22:00,10,,,0,,
2017,19-Jul,22:00,20,,,0,,
2017,19-Jul,22:00,30,,,0,,
2017,19-Jul,22:00,40,,,0,,
2017,19-Jul,22:00,50,48,4,44,VTR,
2017,19-Jul,23:00,0,23,5,18,VTR,
2017,19-Jul,23:00,10,,,0,,
2017,19-Jul,23:00,20,,,0,,
2017,19-Jul,23:00,30,,,0,,
2017,19-Jul,23:00,40,,,0,,
2017,19-Jul,23:00,50,,,0,,
2017,20-Jul,0:00,0,15,3,12,WJS,
2017,20-Jul,0:00,10,26,4,22,WJS,
2017,20-Jul,0:00,20,,,0,,
2017,20-Jul,0:00,30,,,0,,
2017,20-Jul,0:00,40,,,0,,
2017,20-Jul,0:00,50,,,0,,
2017,20-Jul,1:00,0,14,2,12,WJS,
2017,20-Jul,1:00,10,5,1,4,WJS,
2017,20-Jul,1:00,20,,,0,,
2017,20-Jul,1:00,30,,,0,,
2017,20-Jul,1:00,40,,,0,,
2017,20-Jul,1:00,50,,,0,,
2017,20-Jul,2:00,0,5,1,4,WJS,
2017,20-Jul,2:00,10,6,3,3,WJS,
2017,20-Jul,2:00,20,,,0,,
2017,20-Jul,2:00,30,,,0,,
2017,20-Jul,2:00,40,,,0,,
2017,20-Jul,2:00,50,,,0,,
2017,20-Jul,3:00,0,11,1,10,WJS,
2017,20-Jul,3:00,10,17,0,17,WJS,
2017,20-Jul,3:00,20,,,0,,
2017,20-Jul,3:00,30,,,0,,
2017,20-Jul,3:00,40,,,0,,
2017,20-Jul,3:00,50,,,0,,
2017,20-Jul,4:00,0,17,0,17,WJS,
